,dis_id,date,state,type
2588,5f7b2c3231a8c6681cfffc21,2014-07-19,WA,Fire
2589,5f7b2c3231a8c6681cfffc08,2014-07-21,UT,Fire
2590,5f7b2c3231a8c6681cfffc13,2014-07-31,OR,Fire
2591,5f7b2c3231a8c6681cfffc24,2014-07-31,OR,Fire
2592,5f7b2c3231a8c6681cfffc1b,2014-08-01,CA,Fire
2593,5f7b2c3231a8c6681cfffc2d,2014-08-01,CA,Fire
2594,5f7b2c3231a8c6681cfffc27,2014-08-01,CA,Fire
2595,5f7b2c3231a8c6681cfffc3a,2014-08-02,CA,Fire
2596,5f7b2c3231a8c6681cfffc3e,2014-08-02,CA,Fire
2597,5f7b2c3231a8c6681cfffc30,2014-08-02,WA,Fire
2598,5f7b2c3231a8c6681cfffc6b,2014-08-05,WA,Fire
2599,5f7b2c3231a8c6681cfffc37,2014-08-05,OR,Fire
2600,5f7b2c3231a8c6681cfffc60,2014-08-18,CA,Fire
2601,5f7b2c3231a8c6681cfffc6e,2014-08-18,CA,Fire
2602,5f7b2c3231a8c6681cfffc41,2014-08-24,CA,Fire
2603,5f7b2c3231a8c6681cfffc46,2014-09-05,CA,Fire
2604,5f7b2c3231a8c6681cfffc55,2014-09-13,CA,Fire
2605,5f7b2c3231a8c6681cfffc49,2014-09-14,CA,Fire
2606,5f7b2c3231a8c6681cfffc4b,2014-09-15,CA,Fire
2607,5f7b2c3231a8c6681cfffc4e,2014-09-15,OR,Fire
2608,5f7b2c3231a8c6681cfffca3,2014-10-08,CA,Fire
